id,name,title,img,twitter,slides_url,talk_url,abstract
gkanunnikau,Gleb Kanunnikau,Digging for Urban and Civic Data in Eastern Europe,gkanunnikau,,https://doi.org/10.5281/zenodo.2827562#.XNyBRuTtruE,https://youtu.be/MM8pEvUPId0,"The Open Data and Open Knowledge movement in developing countries is constantly bumping against the paradoxical question: is there a way to open up data when the datasets aren't yet present? Where do you get the data to make your effort worthwhile and how do you scale to make the initiative relevant to the larger society? More importantly, do the data producers (the state bodies and the surveillance apparatus, social networks or municipal service providers) share the interest of publishing data for everyone's and society's benefit? Is there a way to dig out interesting and relevant datasets that people didn't know existed to show new ways to analyze and fight urban problems, educate people about the environment, propose solutions to post-Soviet problems like unemployment, decaying public infrastructure, never-digitized cultural assets? Do we cooperate with the fashionable ""Smart city"" projects funded by Chinese state corporations or remain vary of the surveillance methods they introduce in cooperation with the police and other government structure? Practical cases, civic hacking and citizen data science, establishing cooperation between unlikely partners and other questions of interest for anyone interested in the community building process from scratch."
bduckles_vsteeves,Beth Duckles & Vicky Steeves,Qualitative Research Using Open Source Tools,bduckles_vsteeves,bduckles,https://doi.org/10.5281/zenodo.2673016#.XNRZAeXaqVs,https://youtu.be/DwCunW19wcQ,"Qualitative research has long suffered from a lack of free tools for analysis, leaving no options for researchers without significant funds for software licenses. This presents significant challenges for equity. This panel discussion will explore the first two free/libre open source qualitative analysis tools out there: qcoder (R package) and Taguette (desktop application). Drawing from the diverse backgrounds of the presenters (social science, library & information science, software engineering), we will discuss what openness and extensibility means for qualitative research, and how the two tools we've built facilitate equitable, open sharing."
bgtzovaras,Bastian Greshake Tzovaras,The n-of-many-ones: Fueling Community Science with Personal Data,bgtzovaras,gedankenstuecke,https://doi.org/10.5281/zenodo.2697185#.XNV2a_DJe5Y,,"As we are becoming more and more digitized, we are creating and collecting more personal data than ever before, offering unprecedented chances for research. This potential wealth of data for research comes practical problems such as: How to merge data streams? And how can people responsibly share their personal information? In this talk we will explore how to enable responsible personal data sharing by giving individuals granular sharing options and how this can enable community science. Furthermore, we will also see how we can scale up personal data exploration from the n-of-one to an n-of-many-ones, using a JupyterHub setup built right into a community science platform."
adyork,Amber D. York,Frictionless Data Processing in the Wild,adyork,BCODMO,https://zenodo.org/record/2687557#.XNRWMi-ZNQI,,"Frictionless Data (FD) initiatives out of Open Knowledge International provide attractive informatics and processing capabilities.  The BCO-DMO data repository used FD tools on real-world datasets, and we have some lessons learned to share. By building upon existing FD tools, we found ways to reduce the amount of time data managers spend generating metadata, and writing custom scripts.  We are also developing ways for data managers with varying levels of scripting ability to make use of Frictionless Data tools. "
jlowndes,Julia Lowndes,Building Communities of Practice around Environmental Open Data Science,jlowndes,juliesquid,https://docs.google.com/presentation/d/1KXzPId1IvspsemIOmOUQEOqt8-Nw4Lhb2-Xvi_XZWeU/edit,https://youtu.be/njFaGA7Cs2M,"Environmental scientists are a diverse community that ranges from climatologists to geneticists, but we are united by an enormous need to work efficiently with data – and by the fact that we seldom have formal computing or data analysis training of any kind. There is great opportunity to borrow from the work of software engineers and use collaborative open tools that facilitate better science in less time. However, a fundamental shift is needed in the environmental science community that prioritizes data science and provides emerging scientific leaders training in open science tools and practices to strengthen and accelerate their work. I will discuss my work to catalyze this shift through two programs I have developed and lead at the National Center for Ecological Analysis and Synthesis (NCEAS) at the University of California at Santa Barbara. The first is the Ocean Health Index training program, which teaches international government and academic scientists how to channel the best available scientific information into marine policy using our scientific method and tools. And the second I have recently launched in January 2019 as a Mozilla Fellow: Openscapes, a mentorship program that empowers environmental scientists with open data science tools and grows the community of practice."
mmejia,Melissa Mejia,The Data to Policy Project: Using Data to Build More Equitable Communities,mmejia,,https://doi.org/10.5281/zenodo.2691398#.XNV3eIIyMX4,,"The Data to Policy Project (D2P) is an initiative creating meaningful learning experiences for students by using analysis of open data to generate equity and evidence-based policy proposals addressing local community needs. D2P is integrated into credit-bearing courses where students explore issues like policing and affordable housing in the Denver region. Over the course of a semester, students find, cite, clean, analyze, and visualize data to identify gaps or problems in policing or affordable housing, create policy proposals that address what they found, then create a research poster to communicate their findings. We encourage a critical approach to data literacy that questions the objectivity and neutrality of data and situate it in a socio-political context. The project culminates in a D2P Symposium where students present their research to their peers, faculty, staff, and community members. By focusing on student-initiated concerns and using real data to try and address them, D2P forms a connection between the courses students take and the communities they live in, increasing its meaning and impact. We also partner with local community organizations, governments, and nonprofits to identify and frame the research questions students explore. Our goal is to intentionally include community voices so that the research we work on is relevant, context-specific, and in the interest of the community it will impact. This presentation will communicate the challenges and benefits of this kind of work, how it can be replicated in other contexts, and invite feedback on how to improve the project."
mparker,Micaela Parker,Data Science Training and Community Building through Hackweeks,mparker,,https://doi.org/10.5281/zenodo.2750895#.XNiPmUxi9hA,,"Informal training activities enable researchers at all levels to rapidly learn data science tools and best practices that fit their research questions and make significant advances in their work. In this talk, I will describe a highly successful informal training that has emerged in recent years called Hackweeks. These hackathon-style events place a strong focus on cultivating data science literacy, building a community of practice, and developing resources within an existing domain-specific community. By bringing together researchers from many different universities to address methods challenges within a research domain, Hackweeks take advantage of a shared language and shared scientific objectives. The Hackweek structure is designed to foster collaboration and learning among people from various stages of their career and technical abilities, and catalyze a community through a shared interest in solving computational challenges within a field (Huppenkothen et al, 2018). Hackweeks originally came out of the Astronomy community (Astro Hack Week, entering its 6th year in 2019) and the model has been successfully propagated to: neuroscience (Neurohackweek, now a 2-week NIH-funded program called Neurohackademy), geospatial sciences (Geohackweek), oceanography (Oceanhackweek), and more. "
jmhernandez,Jose M Hernandez,Version Controlled Stakeholder Reporting: Building an End-to-End Data Reporting Infrastructure,jmhernandez,josemhe,,,"King County, Washington is currently undergoing complex social and economic changes that have both positive and negative impacts on local residents. With rising rents displacing  low-income households to outlying areas or into homelessness, there is a critical need to understand the prevalence and mechanisms of housing insecurity for government organizations tasked to address these issues. Currently, our team of Data and social scientists at the University of Washington, eScience Institute are collaborating with stakeholders across the King County Housing and Homelessness prevention agencies to derive meaningful insights from their data. While their aim is not to produce academic research, our findings may have significant and immediate impact for their organizational practices and the communities they are tasked to serve. In this context and where there is an iterative and constant feedback loop present, reproducibility of the results we present to them, from figures, tables, and even written language is critical. To ensure a successful collaboration, our team has built an end to end data reporting infrastructure to produce reports for our stakeholders that are reproducible and version controlled from raw data to final product. We employ some common open source tools to accomplish this, including R/Rstudio, Python, Rmarkdown, and git."
syang,Selene Yang,The Streets of Women. An Analysis of Street Nomenclature Data in Latin America and Spain through OpenStreetMap and Wikipedia,syang,srta_peperina,,https://youtu.be/op6fD7TYEwk,"This is a collaborative project of Geochicas to produce a map of the streets named after women in Latin America and Spain. This project seeks to link and generate content in OSM and Wikipedia about prominent women. It is intended to make a survey of information on streets, avenues, passages, roads that have the names of women and also their respective biographies in Wikipedia."
skenya,Soila Kenya,Hacking Open Data in Africa,skenya,soila_kenya,https://doi.org/10.5281/zenodo.2785091#.XNssRCdXVgk,,"This talk will cover the tips & tricks, code and community-sourcing openAFRICA.net - the largest independent repository of open data on the African continent - used in order to digitise deadwood to give citizens actionable information. Data availability in many African countries is dismal. Files upon files of important government information lays gaining dust in abandoned storage rooms. On the other hand, journalists and citizens need this information to keep governments in check and ensure they are receiving the right services. So how do you turn paper-based government archives into machine readable & API accessible digital files? "
tladeras,Ted Laderas,Data Scavenger Hunts: Learning about Data Together,tladeras,tladeras,https://doi.org/10.5281/zenodo.2797197#.XNssFT49Rz8,,"Data exploration and visualization are a highly accessible gateway activity to learning data science. In this talk, we discuss our experience with ""Data Scavenger Hunts"" using web apps to democratize data science and make it accessible to a wide variety of audiences. In order to acheive this, we have developed an R package called `burro` that can enable public datasets to be explored together via a sharable web app. In this talk, we talk about our experience with using data scavenger hunts to teach each other interesting things about data. In particular, we share our experiences with exploring the NHANES (National Health Nutirition Examination Survey) data and the insights we have taught each other. We show that this guided and communal data exploration leads to increased confidence and curiosity about data science in Biodata-Club, our learning community. `burro` apps can be deployed by anyone to start conversations about data."
