id,name,title,abstract,img,github,twitter
rkemper,Rudo Kemper,Mapping and safeguarding indigenous oral histories using an open source tool,"For many indigenous and other local communities in the rainforests of South America, survival in the rainforest has always depended on an intimate knowledge of their territory, passed down by their ancestors. Place-based stories help determine where food or resources are located, or where dangers lie hidden. Most importantly, the oral histories reinforce their historical and cultural connection to their homelands, which in turn informs their collective identity. However, in the contemporary context, oral history storytelling traditions are at risk of disappearing as younger community members leave their villages recurrently or permanently, in search of work. To prevent invaluable oral histories from disappearing into oblivion, we developed a methodology and built a FOSS application to help communities map their oral histories. Terrastories was born in 2018 after realizing the need for an offline-first geostorytelling tool that can work in very remote conditions such as the Amazon rainforest, and give communities the power to manage their own traditional knowledge and storytelling data. I will share how the project was born and why indigenous peoples needed this tool, how Terrastories works, and discuss some tough questions around data sovereignty, protection of sensitive data, and archiving traditional knowledge.",rkemper,rudokemper,rudokemper
ali,Angela Li,Data Communities and Those Who Build Them,"In order to support the use of data in various contexts, it is important to have champions who demonstrate the value of tools, shepherd new users, and provide support to those learning to use data. In this talk, I’ll cover my experiences with data community building and share strategies from open source communities such as R-Ladies and The Carpentries, as well as the spatial data science community I support at my research center. I’ll discuss the value of the data community builder and their role within / outside of institutions for encouraging uptake of technical tools. Some of the skills needed for these roles may not be what you think: building relationships, being empathetic toward use cases (and users!), organizing events, teaching effectively, and setting strategy for expanding data networks, among others. ",ali,angela-li,CivicAngela
dsopoku,David Selassie Opoku, Low-Income Data Diaries - How “Low-Tech” Data Experiences Can Inspire Accessible Data Skills and Tool Design ,"How would you communicate a data visualisation through radio or remotely teach data journalism to a team of freelance journalists with access to 1GB RAM laptops and spotty internet? How does a civic technologist without access to a credit card get access to cloud services for her community contracts monitoring app? How do you explain the importance of data privacy to a community of farmers who could not complete basic school. [Hopefully in 2020], most people will not deny the transformative power of data literacy in the digital age. Whether you’re a journalist, a business owner, a government official, an activist, a researcher or a student, knowing how to access the right data, transform them into information and leverage its insights for decision-making and action has become a life skill. Take a journey with me as we travel to and alongside several data community members working in low-income context and hear  experiences of how their “low-tech” (LOW-TECHnical knowledge and LOW-TECHnological tools/resources) contexts, are elevating and challenging gaps in the current data community and driving opportunities to rethink and shape how the data community can make data skills and tools accessible to more.",dsopoku,sdopoku,sdopoku
pashlock,Philip Ashlock,The State of Open Government Data Infrastructure,"This talk will provide an overview of the current state of open government data infrastructure and the broader ecosystem from the perspective of Data.gov and the implementation of open data laws in the United States. This will cover the widespread use of the W3C DCAT metadata standard across all Federal agencies as well as widespread use by state and local governments. This same metadata also helps generate the Schema.org variant of the specification with fuels listings on general purpose platforms like Google Dataset Search. The European Union has been updating their DCAT Application Profile with the recent development of DCAT 2.0 and the US Government will be revising its DCAT specification to meet updated requirements in the new comprehensive open data law (""Evidence Act"") with public input on GitHub. This talk will provide an overview of the current state of this infrastructure and ecosystem and ponder how other metadata standards including CSVW, Tabular Data Packages, DSPL, and SDMX fit into the mix as well as how we can better leverage CSVs and tabular data tools and capabilities within platforms like Data.gov and other CKAN-based data catalogs. Since this talk should be in the midst of the public comment period for revising our USG-focused profile of DCAT, it will also be a good opportunity to solicit comments and public participation in the update to the metadata specification used across all government agencies. The current legacy version of this can be found at https://resources.data.gov/schemas/dcat-us/v1.1/",pashlock,philipashlock,philipashlock
aludden,Amanda Ludden,"Around the world in 80 data formats: Re-packaging the Harvard Business Review archive as an accessible, internal database","We often evaluate digitally-published content using event-based metrics (clicks, conversions), persisting only snippets of the original content (headlines, tags) rather than full text. At Harvard Business Review, decades of editorial rigor have yielded an archive that's small but rich and modular relative to, e.g., breaking news sites -- and our strategies ought to reflect that. Here, I'll share outcomes and lessons from an initiative to re-package our archive text and metadata -- from XML to data.frames, .RData, CSV, XLS, and JSON -- as an internal data product for editors, analysts, product managers, and others across the organization.",aludden,,
amfoster_ksullivan,Andrew Mckenna-Foster and Kathleen Sullivan,The Complicated Problem of Closing Open Data,"Open government data portals can be a valuable source of diverse public-sector information, from lobbyist spending to water quality test results. They also have a lot of aging junk: little-used datasets with cryptic titles and scant documentation. The library domain has years of experience “weeding” out under-used or outdated materials, and our team brought that perspective to the Washington State open data portal (data.wa.gov/browse). But weeding open data turned out to be pretty complicated. What counts as “low quality” or “little” use? Who makes the weeding decision, in a publishing environment that’s usually decentralized and managed anonymously? How do portals, created for transparency, remove content in a transparent way? We examined nearly all U.S. state and many U.S. city government portals and found very few formal data removal policies -- a void that raises questions about authority, usability and management, as many civic data portals enter their second decade. Supported by the Open Data Literacy project (https://odl.ischool.uw.edu/), this work is contributing to a new open data curation partnership between the Washington State Library and the state’s data portal. The talk will cover our findings, recommendations from archivists and other public records experts, and how the Washington State Library and state agencies are working together to improve open data resources for the public.",,,
tvschaik,"Tempest van Schaik, PhD",Building successful collaborations around healthcare data,"Besides a few high-profile machine learning for health breakthroughs, what is the state of real-word data science for health, and why do so few algorithms make it into production? We’ll explore the rich variety of health data that exists, how to avoid common pitfalls with it, ways to make the most positive impact with health data, and the culture of different stakeholders who work with data. We’ll consider this topic with reference to Project Fizzyo, which aims to improve the lives of children with cystic fibrosis, using data from custom respiratory devices which are used during physiotherapy.",tvschaik,,@Dr_Tempest
sbrice,Samuel Brice,Demystifying Clearview: Vehicle Tracking with Public CCTV Cameras,"Recently  the New York Times published an article about Clearview AI - the secretive company that might end privacy as we know it. Using a database of billions of images scrapped from websites such as Facebook, and Instagram Clearview can track and identify anyone with a web presence. The tool is actively being used by police agencies around the country and many citizens are concerned about its potential for abuse. My talks goes into detail explaining how Clearview's system works by demonstrating a similar system for tracking and identifying cars using public CCTV cameras. I will cover the steps of implementing such a pipeline from collecting training data, to building a neural net model, to tracking the movements of a car in time and space. Lastly I will cover the implications of such a capability on privacy as well as what can be done to protect our privacy today.",sbrice,samdbrice,samdbrice
rwilliams_howens,Rebecca Williams and Hunter Owens,"The good, the bad, the extremely obtuse: a survey of government (open) data regulations and how to successfully build accountability programs in government","You've heard of GDPR, but are you aware of how recent legislation by Congress and California may affect your beat? This session will bring together two experts in government data management to discuss the impacts of recent  legislation, including: the Foundations for Evidence-based Policymaking Act, the Geospatial Data Act, the Grant Reporting Efficiency and Agreements Transparency Act, and the California Consumer Privacy Law. They will discuss how this legislation affects access to data, tracking down data, formats of data, and other nuances of the governmental data making process. They may also speculate wildly on how future legislation could impact government data management. Rebecca Williams on Twitter:@internetrebecca. Hunter Owens on Twitter:@hunter_owens ",rwilliams_howens,rebeccawilliams;@hunterowens,
jpevans,James Perry Evans,Protected health information breaches on GitHub,"Medical scientists are encouraged to use GitHub for software development, but without training, they might leak protected health information (PHI) by inadvertently including data in what should be software-only repositories. During the fall of 2016, we attempted to identify obvious breaches of PHI on GitHub as part of an ongoing interest in patient privacy. Searching GitHub for keywords patient, dob, and ssn uncovered hundreds of repositories, which were further scanned for sensitive information (names, organizations, phone numbers, street addresses, credit cards, IPs, SSNs, and emails) using Python's common regex module and the Stanford Natural Language Toolkit. Manual investigation of the results uncovered four repositories that exposed patient information. 1) A popular health care provider exposed approximately 4000 patient names. On Dec 1, we were able to track down the healthcare provider from both the repository name and doctor names in the repository files. We contacted the organization and those repositories were taken down within the day of contact. 2) A health collection agency’s repository led to the exposure of social security numbers, dates of birth, home addresses, email addresses, and insurance and billing information of roughly 30,000 patients. After we contacted the repository owner, the data and the repository were removed from GitHub some six months after the data had first been exposed. 3) A crisis center’s long-term breach of PHI was discovered in August 2016, and from the repository commit dates, it had been up for at least three years. The original repository managed the medical records application developed for the crisis center. We contacted that organization and the repository was taken down within a few days. 4) A contractor for a health insurance wellness program leaked some patient data with names, social security numbers, addresses, and health measures such as blood pressure. This organization was contacted by our hospital compliance office and the GitHub repository was removed. Our talk will cover the discovery of these PHI breaches, and how we handled them with GitHub, our hospital compliance office, and the organizations involved.",jpevans,samesense,oncolytic
