Time,Speakers,Session
<h2>TUESDAY -   MAY 4 2021 - DAY 1</h2>,,
<b>Session 0</b> <br>Join Session: <a href='https://www.crowdcast.io/e/csvconf6-0-session-0'>crowdcast.io/e/csvconf6-0-session-0</a>,,
7am PST · 10am EST · 2pm UTC · 3pm BST · 5pm EEST,Pavel Soriano,csv-detective: solving some of the misteries of open data
7.20am PST · 10.20am EST · 2.20pm UTC · 3.20pm BST · 5.20pm EEST,Anne Lee Steele,Data visualization and crowdsourced research: experiments in collective storytelling
7.40am PST · 10.40am EST · 2.40pm UTC · 3.40pm BST · 5.40pm EEST,Karl Broman,Data cleaning principles
<b>Session 1</b> <br>Join Session: <a href='https://www.crowdcast.io/e/csvconf6-0-session-1'>crowdcast.io/e/csvconf6-0-session-1</a>,,
8am PST · 11am EST · 3pm UTC · 4pm BST · 6pm EEST,Jeroen Janssens,Set your code free; turn it into a command-line tool
8.20am PST · 11.20am EST · 3.20pm UTC · 4.20pm BST · 6.20pm EEST,Bastian Greshake Tzovaras,Using wearables to detect infections: A co-created & community-led pandemic response
8.40am PST · 11.40am EST · 3.40pm UTC · 4.40pm BST · 6.40pm EEST,K Adam White,"WordPress as Data, 5 Years In"
<b>Session 2</b> <br>Join Session: <a href='https://www.crowdcast.io/e/csvconf6-0-session-2'>crowdcast.io/e/csvconf6-0-session-2</a>,,
9am PST · 12noon EST · 4pm UTC · 5pm BST · 7pm EEST,Donny Winston,CSV-LD: Spreadsheet-based Linked Data
9.20am PST · 12.20noon EST · 4.20pm UTC · 5.20pm BST · 7.20pm EEST,Abhishek Gupta,The Lab Notebook: Bringing Science Back to Data Science
9.40am PST · 12.40noon EST · 4.40pm UTC · 5.40pm BST · 7.40pm EEST,Derek Beaton,"The Ontario Neurodegenerative Disease Research Initiative's Neuroinformatics & Biostatistics teams pipelines, partnerships, and products."
<b>Keynote</b> <br>Join Session: <a href='https://www.crowdcast.io/e/csvconf6-0-keynote-covid'>crowdcast.io/e/csvconf6-0-keynote-covid</a>,,
10am PST · 1pm EST · 5pm UTC · 6pm BST · 8pm EEST,"Julia Kodysh, Michal Mart, Kevin Miller, Kara Schechtman",From a spreadsheet to critical data infrastructure: building The COVID Tracking Project
<b>Birds of a Feather</b> <br>Join Session: TBA,,
11am PST · 2pm EST · 6pm UTC · 7pm BST · 9pm EEST,,
<b>Llama Brunch / Lunch </b> <br>Join Session: TBA,,
11.30am PST · 2.30pm EST · 6.30pm UTC · 7.30pm BST · 9.30pm EEST,,
<b>Session 3</b> <br>Join Session: <a href='https://www.crowdcast.io/e/csvconf6-0-session-3'>crowdcast.io/e/csvconf6-0-session-3</a><br><i>Session 3 and 4 happening at the same time</i>,,
12noon PST · 3pm EST · 7pm UTC · 8pm BST · 10pm EEST,Harris Lapiroff,An API for Tracking Press Freedom
12.20pm PST · 3.20pm EST · 7.20pm UTC · 8.20pm BST · 10.20pm EEST,Mike Trizna,Making Smithsonian Open Access Accessible with Python and Dask
12.40pm PST · 3.40pm EST · 7.40pm UTC · 8.40pm BST · 10.40pm EEST,Jay Miller,Making Police Call Data Readable using Pandas and Eland
<b>Session 4</b> <br>Join Session: <a href='https://www.crowdcast.io/e/csvconf6-0-session-4'>crowdcast.io/e/csvconf6-0-session-4</a><br><i>Session 3 and 4 happening at the same time</i>,,
12noon PST · 3pm EST · 7pm UTC · 8pm BST · 10pm EEST,Henry Senyondo,"Rdataretriever:  A platform for downloading, cleaning, and installing publicly available datasets"
12.20pm PST · 3.20pm EST · 7.20pm UTC · 8.20pm BST · 10.20pm EEST,Grant Vousden-Dishington,Using GitHub Actions to Accelerate your Data Efforts
12.40pm PST · 3.40pm EST · 7.40pm UTC · 8.40pm BST · 10.40pm EEST,Philip Ashlock,The State of Open Government Data Standards
