id,name,title,abstract,img,github,twitter,slides_url,talk_url
awilliams,Adrienne Williams,Data Is Power: How Unpaid labor & Stolen Data Train Amazon’s Technology & How Workers Can Take Their Power & Their Money Back.,"Amazon uses sensors in delivery vans and collects data through the Mentor app and company-issued scanners. Mentor is mandatory.  It monitors “risky” driving and distraction behind the wheel. Drivers are required to complete unpaid homework based on perceived “mistakes” determined by Mentor. Low scores means uninsurable drivers. Most drivers download the app onto personal phones instead of the company-provided scanners provided. To download the app onto one's personal phone means employees must allow Mentor to run in the background…always. In this talk, I will draw on my experience as a former Amazon delivery driver and organizer to discuss how tools implemented by Amazon to surveil its workers are, at the same time, used to collect workers' data and train future surveillance systems. This creates a vicious cycle that negatively affects workers. In my talk, I will describe how Amazon’s priorities shape the data that is collected, and how workers develop collective and individual strategies to trick the surveillance systems and regain control of the data that is collected from them.",https://www.dair-institute.org/about,,adrienneandgp,,
ahanna,Alex Hanna,Keynote,,,,,,
achowdhary,Anand Chowdhary,Running a Covid-19 nonprofit as a data maker,"In 2020, Anand Chowdhary and his team founded Karuna 2020, a nonprofit that distributed masks and food to migrant laborers and frontline workers in India. Using GitHub Actions, we developed several open-sourced workflows that automate tasks like generating open data APIs. For example, for every ration kit we distributed, we uploaded a face-blurred photo of the recipient and our REST API tells donors exactly where we're spending the money. All of this was built using Airtable, GitHub Actions, and CSV spreadsheets. In this talk, fellow data makers will learn about how we used automated processes for complete data transparency and the tooling we developed for running a nonprofit.",https://anandchowdhary.com/anand.png,AnandChowdhary,AnandChowdhary,,
aanand,Apoorv Anand,A community driven initiative to crowdsource background details of 1700 High Court Judges in India,"India, the world's largest democracy, has a complex judicial system. The judgments delivered by courts touch upon almost every aspect of an individual's life. Despite playing a critical role, there is barely any data available on the background of judges in these courts. This information is crucial in building and sustaining public trust in the judicial process. It is also critical to inform about potential bias and conflicts of interest. The conceptualization of this dataset was a response to this information gap in India's judicial architecture.
We launched a campaign to build a public dataset titled Know Your High Court Judges (KHOJ) (https://justicehub.in/initiatives/khoj-india) to curate background information on judges. Over 15 months, we collected data on 43 variables on the judge's demographic, education, work experience, judicial appointments, transfers, etc. More than 30 students from law universities across the country, collaborated on crowd-sourcing data from court websites, and other publicly available documents on official websites.
In this talk, I would like to discuss: 
1. The story behind the conceptualization of this dataset
2 - The crucial roles played by members of the Justice Hub (https://justicehub.in/) community 
3 - The process of curating data and ensuring the accuracy of data points (collected by volunteers who had little to no background in working with data or technology) 
4 - Our learnings about how collaborative data curation processes can be used to collect data on other governance-related indicators that are not readily available and difficult to access through the Right to Information Act. 
5 - How this dataset has been contributing to building a discourse around transparency in judicial decision-making.",https://civicdatalab.in/team/apoorv,https://github.com/apoorv74,,,
aibrahim,Ayyub Ibrahim,Investigating police misconduct and migratory patterns,"After gathering public records from hundreds of police departments and consolidating them into a single unified data structure, we were able to track individual police officers who move from one city to another after being accused of serious misconduct. 
In the course of investigating this and other systemic failures of the accountability system, we built a public database ( http://LLEAD.co ) and we cultivated a network of real-world practitioners who can put this tool to work on a day-to-day basis by using it to: defend individual members of the public against wrongful convictions ( https://ip-no.org ) , illustrate the mechanics of police impunity ( https://copwatchnola.wordpress.com ) , and advocate for meaningful changes on the policy level and beyond. 
In this talk, we will share techniques that we’ve developed for assembling individual profiles from a dynamic system made up of many messy data sources without any single unique identifier and we will discuss the challenges/opportunities for using data as a tool to transfer power to the public.",,,,,
bgreshaketzovaras,Bastian Greshake Tzovaras,"Nothing about us, without us: Participatory approaches to make data by the people for the people","Data and AI have by now entered most – if not all – aspects of our lives, from the social over health to the workplace. With this datafication come myriad ethical questions: Which data should (and should not) be collected? What are acceptable uses for those data? And importantly, who gets to decide on these questions? More often than not, these questions are neither posed to nor answered by the people most affected by the data collection and might only be asked once harm has been done. Participatory approaches such as citizen science can be used to give those affected a voice by involving them right from the start and provides a pathway to improving data justice more broadly. This talk will give concrete examples to highlight how participation in fields such as transgender healthcare, Autism research and chronic diseases have been implemented and not only solved some of these issues, but also lead to better and more impactful research as a result. Furthermore, we will give a set of recommendations and ideas on how to start implementing such approaches in your own data practice.",https://tzovar.as/assets/images/profile.jpg,gedankenstuecke,gedankenstuecke,,
cgreenwood,Cathi Greenwood,Speed Bumps on the Road to Innovating with Government Open Data ,"Along with improving transparency and efficiency, open government data is supposed to support entrepreneurship, in the form of user-friendly apps and other business innovations. But the reality often falls short of the ideal. Developers who want to use government data run into poor data quality and documentation, insufficient off-the-shelf data products, limited options for automation and other stumbling blocks. The Washington state (US) open government data team will highlight common development barriers and ways to overcome them, using examples from state agencies’ efforts to open data on transit, internet access, legal cannabis, licensing and more.",,,,,
dcarranza,Daniel Carranza,From garbage data to data on garbage,"Since 2013 on Data Uruguay we’ve been using open data to help people classify and correctly dispose recyclables. We centralise information on hundreds of initiatives in Uruguay and Colombia through DondeReciclo.uy and DondeReciclo.co, and we’re currently working on the national industrial waste tracking system with the ministry of the environment. We want to share the model and strategies we use to clean, standarise, visualise and publish data from dozens of private and públic stakeholders, through a project that has been fiantially sustainable for nine years.",https://drive.google.com/file/d/1TCVsCVx9JG4S37pKcbVUc4Z6fM-vNWfR/view?usp=drivesdk,danielcarranza,danielcarranza,,
dbarnes,Darren Barnes,UK government: Building better data for a better future,How the UK's Office for National Statistics is leading a revolution across government organisations to bake CSV-W standard into the statistical production process by default. Our future is to pioneer an approach for delivering our statistics as linked open data for the web and build innovative and semantically correct data that can bring our data to life and tell stories that are accessible to everyone.,,,,,
dmesquita,Deborah Mesquita,Identifying DDoS attacks on IoT devices using deep learning,"The ESP32 is a series of microcontrollers with integrated Wi-Fi. They offer an opportunity to empower a variety of IoT projects and users because they’re both low-cost and low-power. Security should be an essential part of the development of IoT systems, and these devices are easy targets for cyberattacks because of the poor cycles of update and maintenance. In this talk, we’ll see how we used deep learning and network traffic analysis knowledge to train and embed a model on the ESP32 capable of preventing DDoS attacks. IoT and machine learning combined can solve a lot of today’s problems (including problems of developing countries) and our main goal is to show with low-cost devices we can bring IoT project ideas to real life.",https://avatars.githubusercontent.com/u/2621484?v=4,https://github.com/dmesquita,,,
