Time,Track1,Track2,Track3,Track1 Speaker,Track1 Language,Track2 Speaker,Track2 Language,Track3 Speaker,Track3 Language,Track1_ES,Track2_ES,Track3_ES
WEDNESDAY / MIÉRCOLES - Mayo 29 / May 29 - Dia / Day 1,,,,,,,,,,,,
,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C,,,,,,,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C
8:30 am,Breakfast / Desayuno,,,,,,,,,,,
9:15 am,Welcome / Hola,,,,,,,,,,,
,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C,,,,,,,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C
9:55 am,"Data Alchemy: Turning your datasets into gold with PIDs and metadata",Sisdai and Gema: free software and open data tools of the Mexican government,qsv: A Blazing-Fast CSV Data-Wrangling Toolkit,"Arturo Garduño-Magaña, Gabriela Mejias",EN,"Rocío Arias Puga, Isaías Morales López",ES,Joel Natividad,EN,"Alquimia de datos: convirtiendo sus conjuntos de datos en oro con PID y metadatos",Sisdai y Gema: herramientas de software libre y datos abiertos del gobierno de México ,qsv: un kit de herramientas ultra-rápido para la gestión de datos CSV
10:20 am,The Opening of Research Data and the International Division of Scientific Labor,Introduction to Public Interest Technology,Computational Biology on Wikipedia in Spanish,Michelli Pereira da Costa,ES,"Kelsey Badger, Emily Nutwell",EN,Nelly Sélem Mojica,ES,La apertura de los datos de investigación y la división internacional del trabajo científico ,Introducción a la Tecnología de Interés Público,Biología Computacional en la Wikipedia en Español
10:45 am,Care System Indicators: the case of two local cities building care indicators to measure women's needs.,"Open Data Editor: The tormented journey of an app",Utilizing open source and data to combat mis and dis-information with digital public goods (EN-ES),Alma Rangel,"EN, ES",Sara Petti,EN,Ricardo Miron Torres,"EN, ES",Indicadores del Sistema de Cuidado: el caso de dos ciudades locales que desarrollan indicadores de cuidado para medir las necesidades de las mujeres,"Open Data Editor: el atormentado viaje de una aplicación",Utilizando código y datos abiertos para combatir la desinformación con bienes públicos digitales/ Utilizing open source and data to combat mis and dis-information with digital public goods
11:10 am,Break - walk between buildings / Descanso - paseo entre edificios,,,,,,,,,,,
11:20 am,KEYNOTE,"Data journalism in Mexico's presidential election",, ,BUAP Unidad de Seminarios,Alejandra Padilla,EN,,,KEYNOTE,"El periodismo de datos en la elección presidencial de México",,
12:10 pm,Lunch & Photo / Almuerzo y foto - BUAP Unidad de Seminarios,,,,,,,,,,,
1:10 pm,KEYNOTE,"10 questions you always wanted to ask about data science leadership: #8’s a doozy!",, ,BUAP Unidad de Seminarios,Tracy Teal,EN,,,KEYNOTE,"10 preguntas que siempre quisiste hacer sobre el liderazgo en la ciencia de datos: La #8 es una pasada",,
2:00 pm,Break - walk between buildings / Descanso - paseo entre edificios,,,,,,,,,,,
,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C,,,,,,,BUAP EMA5 Room A,BUAP EMA5 Room B,BUAP EMA5 Room C
2:10 pm,Data Architectures in the Cloud for Strengthening Democracy,This is how we created a graph recommendation engine,Datasketch+CKAN: communicating open data in a simple and friendly way,David Daza,"EN,ES",Camila Achury,ES,Miguel Alor,ES,Arquitecturas de Datos en la Nube para Fortalecer la Democracia,Así creamos un motor de recomendación de gráficos,Datasketch+CKAN: comunicando datos abiertos de manera simple y amigable 
2:35 pm,From Novice to Navigator: An Iterative Approach to Steering the OMSF Community,Crafting Winning Grant Applications for Data Journalism Adventures,Data production and monitoring of international migration in terms of human rights,Zachary Baker,"EN,ES",Jacopo Ottaviani,"EN,ES",Natalia Debandi,ES,De Novato a Navegante: Un Enfoque Iterativo para Guiar a la Comunidad de OMSF,Creando Solicitudes de Subvenciones Ganadoras para Aventuras de Periodismo de Datos,Producción de datos y monitoreo de la migración internacional en clave de derechos humanos
