Name,Pronouns,EN_Title,EN_Description,ES_Title,ES_Description,Language,GitHub,Social
Alberto Hernández Armendáriz,,Mapping the hidden: what the data on irregular migration through Mexico tell us (ES),"Although irregular migration through Mexico has had a significant escalation in recent years, characterizing it remains difficult due to its nature outside the law. The objective of the session is to present an interesting outline of how we use data science to try to approximate its characteristics and assist humanitarian aid interventions.",Mapeando lo escondido: que nos dicen los datos de la migración irregular por México (ES),"A pesar de que la migración irregular a través México ha tenido una importante escalada en los últimos años, caracterizarla sigue siendo difícil por su naturaleza al margen de la ley. El objetivo de la sesión es presentar un pequeño bosquejo interesante de cómo utilizamos la ciencia de datos para intentar aproximar sus características y asistir intervenciones de ayuda humanitaria. ",Español,,
Alma Rangel,,Care System Indicators: the case of two local cities building care indicators to measure women's needs. ,"In recent years, the recognition of the unequal distribution of care work has emerged as a significant contributor to gender inequality. Addressing this disparity involves the collaborative efforts of the state, the market, and community organizations, all aiming to provide diverse services that cater to the population's needs. Despite these efforts, governments face a challenge due to the lack of public and high-quality data necessary for efficient and effective interventions in the sector. To bridge this gap, Open Data Charter and Codeando Mexico, in collaboration with the governments of Mexico City and Buenos Aires, have developed a comprehensive system comprising over 75 indicators on the supply and demand of care. We intend to showcase this system at the CSV Conference, aiming to share with the data community two projects that serve as replicable models for governments seeking to enhance their public policies in the care sector. These initiatives are designed to inform, enrich, and contribute to the closure of gender gaps.",Indicadores del Sistema de Cuidado: el caso de dos ciudades locales que desarrollan indicadores de cuidado para medir las necesidades de las mujeres.,"En los últimos años, el reconocimiento de la distribución desigual del trabajo de cuidado ha surgido como un importante factor contribuyente a la desigualdad de género. Abordar esta disparidad implica los esfuerzos colaborativos del Estado, el mercado y las organizaciones comunitarias, todos con el objetivo de proporcionar servicios diversos que satisfagan las necesidades de la población. A pesar de estos esfuerzos, los gobiernos enfrentan un desafío debido a la falta de datos públicos y de alta calidad necesarios para intervenciones eficientes y efectivas en el sector. Para cerrar esta brecha, la Carta Internacional de Datos Abiertos y Codeando México, en colaboración con los gobiernos de la Ciudad de México y Buenos Aires, han desarrollado un sistema integral que comprende más de 75 indicadores sobre la oferta y demanda de cuidado. Tenemos la intención de presentar este sistema en la Conferencia CSV, con el objetivo de compartir con la comunidad de datos dos proyectos que sirven como modelos replicables para gobiernos que buscan mejorar sus políticas públicas en el sector de cuidado. Estas iniciativas están diseñadas para informar, enriquecer y contribuir al cierre de brechas de género.",Combinación/Combination,,
Anais Concepcion,she/her,"Turning a spreadsheet into a collaborative, visual database (EN)","In this hands-on talk, we look at how a group of collaborators can get the most out of relational CSVs. Using the example of a non-profit organization, we go from a simple spreadsheet, to a relational database, to a full-blown data app that lets everyone contribute – without writing any code. The key to collaborative data is making sure everyone can actually use the data, regardless of technical ability. I'll show you how using Grist – a free and open source tool that makes it easy to work on sensitive data as a team. Grist is ideal for collaboration because it bridges technical gaps without sacrificing usability, data portability, or security.",Convertir una hoja de cálculo en una base de datos visual colaborativa (EN),"En esta charla práctica, analizamos cómo un grupo de colaboradores puede aprovechar al máximo los CSV relacionales. Usando el ejemplo de una organización sin fines de lucro, pasamos de una simple hoja de cálculo a una base de datos relacional y a una aplicación de datos completa que permite que todos contribuyan, sin escribir ningún código. La clave para los datos colaborativos es asegurarse de que todos puedan utilizar los datos, independientemente de su capacidad técnica. Le mostraré cómo utilizar Grist, una herramienta gratuita y de código abierto que facilita el trabajo con datos confidenciales en equipo. Grist es ideal para la colaboración porque cierra brechas técnicas sin sacrificar la usabilidad, la portabilidad de datos o la seguridad.",English,https://github.com/anaisconce,https://twitter.com/anaisconce
Andrés Snitcofsky ,,Poroteo in a spreadsheet: the followup,"At the 2020 CSVconf (from home), I shared the experience of using a Google spreadsheet to monitor the (failed) fight for #LegalAbortion, but then we reused it and managed to get it approved. Later, we used it again more than once, and it evolved and improved. The idea is to share that whole journey and experience.",Seguimiento en una hoja de cálculo: la continuación,"En la CSVconf de 2020 (from home) comparti la experiencia de usar una google spreadsheet para monitorear la (fallida) lucha por el #AbortoLegal, pero luego la volvimos a usar y logramos que se apruebe. Luego volvimos a usarlo más de una vez y fue evolucionando y mejorando. La idea es compartir todo ese recorrido y experiencia",Combinación/Combination,rusosnith,rusosnith
Arturo Garduño-Magaña and Gabriela Mejias,he/him / she/her,Data Alchemy: Turning your datasets into gold with PIDs and metadata (EN),"Unlocking the full potential of public data files requires a strategic approach to data management. This presentation takes a user-friendly dive into the world of open metadata, and the role of persistent identifiers (such as DataCite DOIs) in enhancing the visibility and impact of public datasets.",Alquimia de datos: convirtiendo sus conjuntos de datos en oro con PID y metadatos (EN),"Liberar todo el potencial de los archivos de datos públicos requiere un enfoque estratégico para la gestión de datos. Esta presentación se sumerge, de manera amigable para el usuario, en el mundo de los metadatos abiertos y el papel de los identificadores persistentes (como los DOI de DataCite) para mejorar la visibilidad y el impacto de los conjuntos de datos públicos.",Combinación/Combination,,@argamax89 and @gabioshka / @gabioshka@mastodon.social
Asura Enkhbayar,he/him,Data Terroir for Metrics: Exploring the Politics of Citations with a Process-centric view of (EN),"Terroir is a fancy term often used to describe how the flavour of a wine is connected to the unique environment of a grape such as climate, soil, or even farming practices. While I don’t particularly care about wine itself, I propose that those who work with scholarly metrics like citation counts should care about the environmental factors of their data. In this talk, I present an exploration of citation data through the lens of a conceptual framework that centers process over outcome. In doing so, I want to show that this processual shift can help us to better understand and operationalize the politics of citations which have been increasingly in the limelight of critical academics, scholars, and tool makers as well. The presentation will reflect and embrace the fluid and interdisciplinary nature of such an undertaking and will cover both the philosophy of citations as well as concrete examples working with traditional and newly emerging forms of citation data.",Terroir de datos para las métricas: exploración de la política de las citas con una visión centrada en el proceso (EN),"Terroir es un término elegante que se utiliza a menudo para describir cómo se conecta el sabor de un vino con el entorno único de una uva, como el clima, el suelo o incluso las prácticas agrícolas. Si bien no me importa especialmente el vino en sí, propongo que quienes trabajan con métricas académicas como el recuento de citas se preocupen por los factores ambientales de sus datos. En esta charla, presento una exploración de los datos de citas a través de la lente de un marco conceptual que centra el proceso sobre el resultado. Al hacerlo, quiero mostrar que este cambio procesual puede ayudarnos a comprender y operacionalizar mejor la política de citas que ha estado cada vez más en el centro de atención de académicos críticos y creadores de herramientas. La presentación reflejará y abrazará la naturaleza fluida e interdisciplinaria de tal tarea y cubrirá, tanto la filosofía de las citas, como ejemplos concretos que trabajan con formas tradicionales y recientemente emergentes de datos de citas.",English,@bubblbu,"Twitter: @bubblbu_, Mastodon: @bubblbu"
Averi Giudicessi and Naiki Olivas Gaspar,,Exploring Challenges and Strengths: R-Ladies Puebla and Data Science with a Gender Perspective (ES),"In this session, we will focus on discussing the process of establishing and developing the R-Ladies community in Puebla. We will explore the unique trajectories of R-Ladies Puebla, founded in 2019, and how the community was affected by the global pandemic. We will share insights on how we successfully adapt our strategies, transforming traditional in-person interactions into dynamic virtual environments. We will address approaches that fostered growth, maintained connectivity, and continued to empower women in the R programming language and data science fields.",Explorando Desafíos y Fortalezas: R-Ladies Puebla y la Ciencia de Datos con Perspectiva de Género (ES),"En esta sesión, nos enfocaremos en discutir el proceso de establecimiento y desarrollo de la comunidad de R-Ladies en Puebla. Exploraremos las trayectorias únicas de R-Ladies Puebla, fundada en 2019, y cómo la comunidad se vio afectada por la pandemia global. Compartiremos perspectivas sobre cómo adaptamos con éxito nuestras estrategias, transformando las interacciones tradicionales en persona en entornos virtuales dinámicos. Abordaremos enfoques que fomentaron el crecimiento, mantuvieron la conectividad y continuaron empoderando a las mujeres en el lenguaje de programación R y en campos de ciencia de datos.",Combinación/Combination,averi-giudicessi,https://twitter.com/RLadiesPuebla + https://twitter.com/naikiog
Bennett Norman,he/him/his,Removing data barriers for decarbonization with the Public Utility Data Liberation Project (EN),"Open-source energy models and data are crucial tools for evaluating and influencing decarbonization policy in the United States. However, the modeling tools and their input data are fragmented and incomplete. Users must repeatedly clean and integrate their own versions of the input data, a tedious, duplicative practice that presents a barrier to accelerated decarbonization. The Public Utility Data Liberation Project (PUDL), is an open-source data processing project that addresses these challenges by cleaning, standardizing, publishing, and curating analysis-ready versions of the energy datasets published by the US government. This talk will cover our approach to cultivating a community of open energy modelers and data wranglers. We’ll also discuss the robust tooling required to keep our data up to date, and how to handle many gigabytes of data while maintaining a high level of data quality. Finally, we’ll explain how we use the Dagster task orchestrator to help contributors with domain knowledge focus more on reproducible data processing and less on maintaining software.",Eliminando barreras de datos para la descarbonización con el Proyecto de Liberación de Datos de Servicios Públicos (EN),"Los modelos y datos energéticos de fuente abierta son herramientas cruciales para evaluar e influir en la política de descarbonización en Estados Unidos. Sin embargo, las herramientas de modelado y sus datos de entrada están fragmentados e incompletos. Los usuarios deben limpiar e integrar repetidamente sus propias versiones de los datos de entrada, una práctica tediosa y duplicativa que presenta una barrera para acelerar la descarbonización. El Proyecto de Liberación de Datos de Servicios Públicos (PUDL) es un proyecto de procesamiento de datos de código abierto que aborda estos desafíos limpiando, estandarizando, publicando y seleccionando versiones listas para análisis de los conjuntos de datos energéticos publicados por el gobierno de EE. UU. Esta charla cubrirá nuestro enfoque para cultivar una comunidad de modeladores y manipuladores de datos abiertos de energía. También analizaremos las herramientas sólidas necesarias para mantener nuestros datos actualizados y cómo manejar muchos gigabytes de datos manteniendo un alto nivel de calidad. Finalmente, explicaremos cómo utilizamos el orquestador de tareas Dagster para ayudar a los contribuyentes con conocimiento del dominio a centrarse más en el procesamiento de datos reproducibles y menos en el mantenimiento del software.",English,bendnorman,@bendnorman
Caitlin Christine Johnson,She/Her,"Analytics Is Engineering, Too! (EN)","With the emergence of Analytics Engineering within the data world, the new role has been met with a lot of skepticism and scrutiny by software engineers, including myself. However, after taking on a Senior Analytics Engineer role at AssemblyAI in 2023, I am now a huge believer that engineering is possible - if not beneficial - within analytics. My talk will discuss how to treat analytics as a form of engineering by enabling a shift towards rigorous frameworks, standardized processes, and robust infrastructures, fostering not only insightful data-driven decision-making but also the creation of scalable and reliable analytical systems. By drawing parallels between these disciplines, I aim to showcase the value in applying engineering principles to analytics.",¡La analítica también es ingeniería! (EN),"Con el surgimiento de la ingeniería analítica dentro del mundo de los datos, los ingenieros de software, incluyéndome, han recibido este nuevo rol con mucho escepticismo y escrutinio. Sin embargo, después de asumir el puesto de ingeniera sénior de análisis en AssemblyAI en 2023, ahora creo firmemente que la ingeniería es posible, si no beneficiosa, dentro del análisis. Mi charla discutirá cómo tratar la analítica como una forma de ingeniería al permitir un cambio hacia marcos rigurosos, procesos estandarizados e infraestructuras sólidas, fomentando no solo la toma de decisiones perspicaces basadas en datos sino también la creación de sistemas analíticos escalables y confiables. Al establecer paralelismos entre estas disciplinas, mi objetivo es mostrar el valor de aplicar principios de ingeniería a la analítica.",English,https://github.com/caitlincjohnson,n/a
Camila Achury,,This is how we created a graph recommendation engine (ES),"Thanks to the great flexibility of data visualization tools, newcomers to this field face many challenges in familiarizing themselves with the different functionalities necessary to create various types of charts. Often, users simply want to create a simple bar or line chart, and in those cases, it can be cumbersome to think about X and Y axes, how layers work, and they can spend a lot of time making simple customizations. Other approaches provide great interfaces for programmers when they already know what type of chart they want to use, meaning users still need to think about which type of chart works best. We created a data visualization recommendation engine where users don't need to think about those details; our system automatically recommends the most appropriate visualization type given the data's qualities, our system selects and rearranges variables in a way that works magically for different types of charts, and allows customizing charts with advanced themes, either with online options or with suitable configuration lists for programming. In this talk, we want to discuss the challenges of building this recommendation engine and showcase our learnings and design decisions we made to create a system that works with unknown data input types. While building our engine, we faced many challenges, such as working with multiple locales and languages (like Spanish or Portuguese) and many formats (like currencies or custom date formats), leading to the development of several complementary solutions to enhance our system over the years. We want to communicate the process to inspire and enable participants to learn from our mistakes.",Así creamos un motor de recomendación de gráficos (ES),"Gracias a la gran flexibilidad de las herramientas de visualización de datos, los recién llegados a este campo se enfrentan a muchos desafíos para familiarizarse con las diferentes funcionalidades necesarias para crear distintos tipos de gráficos. A menudo, los usuarios simplemente desean crear un gráfico de barras o de líneas simple, y en esos casos puede resultar engorroso pensar en ejes X y Y, cómo funcionan las capas y pueden pasar mucho tiempo realizando personalizaciones simples. Otros enfoques proporcionan grandes interfaces para programadores cuando ya saben qué tipo de gráfico quieren usar, es decir, los usuarios todavía necesitan pensar en qué tipo de gráfico funciona mejor. Creamos un motor de recomendación de visualización de datos donde los usuarios no necesitan pensar en esos detalles; nuestro sistema recomienda automáticamente el tipo de visualización más apropiado dadas las cualidades de los datos, nuestro sistema selecciona y reordena las variables de una manera que funciona mágicamente para diferentes tipos de gráficos y permite personalizar los gráficos con temas avanzados, ya sea con opciones en línea o con listas de configuración adecuadas para la programación. En esta charla, queremos hablar sobre los desafíos de construir este motor de recomendación y mostrar nuestros aprendizajes y las decisiones de diseño que tomamos para hacer un sistema que funcione con tipos de entrada de datos desconocidos. Al construir nuestro motor, nos enfrentamos a muchos desafíos, como trabajar con múltiples localizaciones y lenguajes (como español o portugués) y muchos formatos (como monedas o formatos de fecha personalizados), lo que llevó al desarrollo de varias soluciones complementarias para mejorar nuestro sistema a lo largo de los años. Queremos comunicar el proceso para inspirar y permitir a los participantes aprender de nuestros errores.",Español,,
